Corpus,Label,ID,Quote Text,Response Text
GEN,sarc,GEN_sarc_0000,"First off, That's grade A USDA approved Liberalism in a nutshell.","Therefore you accept that the Republican party almost as a whole is ""grade A USDA approved Liberalism."" About time you did.   "
GEN,sarc,GEN_sarc_0001,"watch it. Now you're using my lines. Poet has always been an easy target, I will agree. ;)","More chattering from the peanut gallery? Haven't gotten the memo, you're no longer a player? Honestly....clamoring for attention is so low budget. No shame."
GEN,sarc,GEN_sarc_0002,Because it will encourage teens to engage in riskier behavior. Abstinence until marriage is still the best way.,"Yep, suppressing natural behavior is always the way to go. We should also get them to stop pooping."
GEN,sarc,GEN_sarc_0003,Obviously you missed the point. So sorry the the irony was beyond you.,"I guess we all missed your point Justine, whatever it might have been. emoticonXConfused Better luck next time. emoticonXGood"
GEN,sarc,GEN_sarc_0004,This is pure paranoia. What evidence do you have to support you're point of view? Why don't you actually do a little research yourself. Handgun Control Inc was founded by two victims of gun-violence. Sarah Brady joined Handgun Control Inc after her husband received brain damage from a bullet. Senator Ted Kennedy also supports gun-control because some of his family members were killed with guns. Many people who support gun control have experienced the horrors of gun violence firsthand and are just trying to make our nation a safer place. It's not because they are power hungry.,"Evidence, I dont need no sticking evidence. This is what I beleive, and thats it, but I will dig up some proof that supports my point."
GEN,sarc,GEN_sarc_0005,And I would appreiciate your refraining from calling the Bible mythology.,And I would appreciate your refraining from calling your mythology a theory.
GEN,sarc,GEN_sarc_0006,"Jake, while I don't agree with JP that this should be an issue of blame, with all due respect, your point here is a bit disingenuous--smallpox isn't easily spread by engaging in a given behavior as HIV is--HIV is a sexually transmitted disease.",What is it that you disagree with? My statement of fact? Or the fact that I made a politically incorrect assertion? emoticonXConfused   
GEN,sarc,GEN_sarc_0007,"That wasn't meant as an insult tq, it was said in the hope that it would reach you where you live.","Tell you what-get your math and science skills up to a grade 6 level and I'll consider taking advice from you, 'kay?  "
GEN,sarc,GEN_sarc_0008,"And what exactly is a ""God-fearing athiest"" anyway?","In my case, it isn't 'god fearing'.. so much as ""believer fearing'"
GEN,sarc,GEN_sarc_0009,"You mean what you got was an eye opening shocker into the world of leftist propaganda, and I can see that like a good sheeple you swallowed it hook line and sinker.","yeah just like you and your idols Glenn Beck, Rush Limbaugh, etc."
GEN,sarc,GEN_sarc_0010,"marriage has other important functions? like what? i'm not going by what anyone has told me, i'm going by what i see: men typically marry for steady *****, women typically marry because they want kids (eventually counts) or they want someone else to come home to and don't mind the side effect of kids.","HOLY COW!!!! Is this the ""Sacred Institution of Marriage"" you and jyoshu are so fervent to protect?"
GEN,sarc,GEN_sarc_0011,The statement was made based upon historical evidence. Practices such as loyalty oaths and fire safety ordinances were common place in colonial times and could be regarded as restrictions on the bearing of arms for effective self defense. The supreme court never determined that these were unacceptable restrictions or infringements.,So a gun is a fire hazard in a public place? I gotta say the gun haters are getting more creative with their arguments.
GEN,sarc,GEN_sarc_0012,Do you believe in evolution? I mean i understand if you do but I would like to make some points about it.....there are also some points procing creation.,"Oh gosh , a whole bunch of cut/pastes from a 14 year old that is showing off their lack of knowledge. These are not unknown situations, and are very easily explained."
